test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
chain_depth_sensitivity,1,1,True,0.823834,valid chain of delegation,1,826
chain_depth_sensitivity,1,2,True,0.836291,valid chain of delegation,1,826
chain_depth_sensitivity,1,3,True,1.10375,valid chain of delegation,1,826
chain_depth_sensitivity,1,4,True,1.079375,valid chain of delegation,1,826
chain_depth_sensitivity,1,5,True,0.945958,valid chain of delegation,1,826
chain_depth_sensitivity,1,6,True,0.942,valid chain of delegation,1,826
chain_depth_sensitivity,1,7,True,0.952209,valid chain of delegation,1,826
chain_depth_sensitivity,1,8,True,0.930875,valid chain of delegation,1,826
chain_depth_sensitivity,1,9,True,0.940709,valid chain of delegation,1,826
chain_depth_sensitivity,1,10,True,0.892541,valid chain of delegation,1,826
chain_depth_sensitivity,1,11,True,0.85625,valid chain of delegation,1,826
chain_depth_sensitivity,1,12,True,0.953583,valid chain of delegation,1,826
chain_depth_sensitivity,1,13,True,0.865125,valid chain of delegation,1,826
chain_depth_sensitivity,1,14,True,0.803334,valid chain of delegation,1,826
chain_depth_sensitivity,1,15,True,0.835709,valid chain of delegation,1,826
chain_depth_sensitivity,1,16,True,0.804458,valid chain of delegation,1,826
chain_depth_sensitivity,1,17,True,0.850458,valid chain of delegation,1,826
chain_depth_sensitivity,1,18,True,0.874625,valid chain of delegation,1,826
chain_depth_sensitivity,1,19,True,0.854208,valid chain of delegation,1,826
chain_depth_sensitivity,1,20,True,0.814083,valid chain of delegation,1,826
chain_depth_sensitivity,1,21,True,0.813542,valid chain of delegation,1,826
chain_depth_sensitivity,1,22,True,0.8235,valid chain of delegation,1,826
chain_depth_sensitivity,1,23,True,0.89025,valid chain of delegation,1,826
chain_depth_sensitivity,1,24,True,0.787916,valid chain of delegation,1,826
chain_depth_sensitivity,1,25,True,0.861833,valid chain of delegation,1,826
chain_depth_sensitivity,1,26,True,0.817125,valid chain of delegation,1,826
chain_depth_sensitivity,1,27,True,0.842,valid chain of delegation,1,826
chain_depth_sensitivity,1,28,True,1.049542,valid chain of delegation,1,826
chain_depth_sensitivity,1,29,True,0.847,valid chain of delegation,1,826
chain_depth_sensitivity,1,30,True,0.782834,valid chain of delegation,1,826
chain_depth_sensitivity,1,31,True,0.769292,valid chain of delegation,1,826
chain_depth_sensitivity,1,32,True,0.76625,valid chain of delegation,1,826
chain_depth_sensitivity,1,33,True,0.802625,valid chain of delegation,1,826
chain_depth_sensitivity,1,34,True,0.785042,valid chain of delegation,1,826
chain_depth_sensitivity,1,35,True,0.778208,valid chain of delegation,1,826
chain_depth_sensitivity,1,36,True,0.792625,valid chain of delegation,1,826
chain_depth_sensitivity,1,37,True,0.739958,valid chain of delegation,1,826
chain_depth_sensitivity,1,38,True,0.933459,valid chain of delegation,1,826
chain_depth_sensitivity,1,39,True,0.779833,valid chain of delegation,1,826
chain_depth_sensitivity,1,40,True,0.77575,valid chain of delegation,1,826
chain_depth_sensitivity,1,41,True,0.764375,valid chain of delegation,1,826
chain_depth_sensitivity,1,42,True,0.777834,valid chain of delegation,1,826
chain_depth_sensitivity,1,43,True,0.781875,valid chain of delegation,1,826
chain_depth_sensitivity,1,44,True,0.765917,valid chain of delegation,1,826
chain_depth_sensitivity,1,45,True,0.759167,valid chain of delegation,1,826
chain_depth_sensitivity,1,46,True,0.74625,valid chain of delegation,1,826
chain_depth_sensitivity,1,47,True,0.758916,valid chain of delegation,1,826
chain_depth_sensitivity,1,48,True,0.763709,valid chain of delegation,1,826
chain_depth_sensitivity,1,49,True,0.754125,valid chain of delegation,1,826
chain_depth_sensitivity,1,50,True,0.798417,valid chain of delegation,1,826
chain_depth_sensitivity,1,51,True,0.768875,valid chain of delegation,1,826
chain_depth_sensitivity,1,52,True,0.800875,valid chain of delegation,1,826
chain_depth_sensitivity,1,53,True,0.741,valid chain of delegation,1,826
chain_depth_sensitivity,1,54,True,0.758291,valid chain of delegation,1,826
chain_depth_sensitivity,1,55,True,0.709,valid chain of delegation,1,826
chain_depth_sensitivity,1,56,True,0.694875,valid chain of delegation,1,826
chain_depth_sensitivity,1,57,True,0.725041,valid chain of delegation,1,826
chain_depth_sensitivity,1,58,True,0.7255,valid chain of delegation,1,826
chain_depth_sensitivity,1,59,True,0.726208,valid chain of delegation,1,826
chain_depth_sensitivity,1,60,True,0.735125,valid chain of delegation,1,826
chain_depth_sensitivity,1,61,True,0.715291,valid chain of delegation,1,826
chain_depth_sensitivity,1,62,True,0.758125,valid chain of delegation,1,826
chain_depth_sensitivity,1,63,True,0.712042,valid chain of delegation,1,826
chain_depth_sensitivity,1,64,True,0.716625,valid chain of delegation,1,826
chain_depth_sensitivity,1,65,True,0.710125,valid chain of delegation,1,826
chain_depth_sensitivity,1,66,True,0.707083,valid chain of delegation,1,826
chain_depth_sensitivity,1,67,True,0.758625,valid chain of delegation,1,826
chain_depth_sensitivity,1,68,True,0.72075,valid chain of delegation,1,826
chain_depth_sensitivity,1,69,True,0.751791,valid chain of delegation,1,826
chain_depth_sensitivity,1,70,True,0.725167,valid chain of delegation,1,826
chain_depth_sensitivity,1,71,True,0.752542,valid chain of delegation,1,826
chain_depth_sensitivity,1,72,True,0.718541,valid chain of delegation,1,826
chain_depth_sensitivity,1,73,True,0.714,valid chain of delegation,1,826
chain_depth_sensitivity,1,74,True,0.725458,valid chain of delegation,1,826
chain_depth_sensitivity,1,75,True,0.723791,valid chain of delegation,1,826
chain_depth_sensitivity,1,76,True,0.710833,valid chain of delegation,1,826
chain_depth_sensitivity,1,77,True,0.722917,valid chain of delegation,1,826
chain_depth_sensitivity,1,78,True,0.739292,valid chain of delegation,1,826
chain_depth_sensitivity,1,79,True,0.692875,valid chain of delegation,1,826
chain_depth_sensitivity,1,80,True,0.750291,valid chain of delegation,1,826
chain_depth_sensitivity,1,81,True,0.929125,valid chain of delegation,1,826
