test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
chain_depth_sensitivity,1,1,True,1.15625,valid chain of delegation,1,826
chain_depth_sensitivity,1,2,True,0.998625,valid chain of delegation,1,826
chain_depth_sensitivity,1,3,True,0.96475,valid chain of delegation,1,826
chain_depth_sensitivity,1,4,True,1.008666,valid chain of delegation,1,826
chain_depth_sensitivity,1,5,True,1.052791,valid chain of delegation,1,826
chain_depth_sensitivity,1,6,True,1.025209,valid chain of delegation,1,826
chain_depth_sensitivity,1,7,True,0.949959,valid chain of delegation,1,826
chain_depth_sensitivity,1,8,True,0.948167,valid chain of delegation,1,826
chain_depth_sensitivity,1,9,True,0.944416,valid chain of delegation,1,826
chain_depth_sensitivity,1,10,True,0.948416,valid chain of delegation,1,826
chain_depth_sensitivity,1,11,True,0.884208,valid chain of delegation,1,826
chain_depth_sensitivity,1,12,True,0.848958,valid chain of delegation,1,826
chain_depth_sensitivity,1,13,True,3.190667,valid chain of delegation,1,826
chain_depth_sensitivity,1,14,True,1.033166,valid chain of delegation,1,826
chain_depth_sensitivity,1,15,True,0.948458,valid chain of delegation,1,826
chain_depth_sensitivity,1,16,True,0.932583,valid chain of delegation,1,826
chain_depth_sensitivity,1,17,True,0.919166,valid chain of delegation,1,826
chain_depth_sensitivity,1,18,True,0.857583,valid chain of delegation,1,826
chain_depth_sensitivity,1,19,True,0.816458,valid chain of delegation,1,826
chain_depth_sensitivity,1,20,True,0.882625,valid chain of delegation,1,826
chain_depth_sensitivity,1,21,True,0.857792,valid chain of delegation,1,826
chain_depth_sensitivity,1,22,True,0.91025,valid chain of delegation,1,826
chain_depth_sensitivity,1,23,True,0.874292,valid chain of delegation,1,826
chain_depth_sensitivity,1,24,True,0.831625,valid chain of delegation,1,826
chain_depth_sensitivity,1,25,True,0.787625,valid chain of delegation,1,826
chain_depth_sensitivity,1,26,True,0.827542,valid chain of delegation,1,826
chain_depth_sensitivity,1,27,True,0.797667,valid chain of delegation,1,826
chain_depth_sensitivity,1,28,True,0.823458,valid chain of delegation,1,826
chain_depth_sensitivity,1,29,True,0.805042,valid chain of delegation,1,826
chain_depth_sensitivity,1,30,True,0.783083,valid chain of delegation,1,826
chain_depth_sensitivity,1,31,True,0.822042,valid chain of delegation,1,826
chain_depth_sensitivity,1,32,True,0.810416,valid chain of delegation,1,826
chain_depth_sensitivity,1,33,True,0.792375,valid chain of delegation,1,826
chain_depth_sensitivity,1,34,True,0.818,valid chain of delegation,1,826
chain_depth_sensitivity,1,35,True,0.794333,valid chain of delegation,1,826
chain_depth_sensitivity,1,36,True,0.803333,valid chain of delegation,1,826
chain_depth_sensitivity,1,37,True,0.791166,valid chain of delegation,1,826
chain_depth_sensitivity,1,38,True,0.772708,valid chain of delegation,1,826
chain_depth_sensitivity,1,39,True,0.772917,valid chain of delegation,1,826
chain_depth_sensitivity,1,40,True,0.780833,valid chain of delegation,1,826
chain_depth_sensitivity,1,41,True,0.783208,valid chain of delegation,1,826
chain_depth_sensitivity,1,42,True,0.756708,valid chain of delegation,1,826
chain_depth_sensitivity,1,43,True,0.777834,valid chain of delegation,1,826
chain_depth_sensitivity,1,44,True,0.75425,valid chain of delegation,1,826
chain_depth_sensitivity,1,45,True,0.904375,valid chain of delegation,1,826
chain_depth_sensitivity,1,46,True,0.942458,valid chain of delegation,1,826
chain_depth_sensitivity,1,47,True,0.795125,valid chain of delegation,1,826
chain_depth_sensitivity,1,48,True,0.785291,valid chain of delegation,1,826
chain_depth_sensitivity,1,49,True,0.781042,valid chain of delegation,1,826
chain_depth_sensitivity,1,50,True,0.749708,valid chain of delegation,1,826
chain_depth_sensitivity,1,51,True,0.758875,valid chain of delegation,1,826
chain_depth_sensitivity,1,52,True,0.739417,valid chain of delegation,1,826
chain_depth_sensitivity,1,53,True,0.754667,valid chain of delegation,1,826
chain_depth_sensitivity,1,54,True,0.705083,valid chain of delegation,1,826
chain_depth_sensitivity,1,55,True,0.742959,valid chain of delegation,1,826
chain_depth_sensitivity,1,56,True,0.699708,valid chain of delegation,1,826
chain_depth_sensitivity,1,57,True,0.762042,valid chain of delegation,1,826
chain_depth_sensitivity,1,58,True,0.72675,valid chain of delegation,1,826
chain_depth_sensitivity,1,59,True,0.7465,valid chain of delegation,1,826
chain_depth_sensitivity,1,60,True,0.7135,valid chain of delegation,1,826
chain_depth_sensitivity,1,61,True,0.70425,valid chain of delegation,1,826
chain_depth_sensitivity,1,62,True,0.714792,valid chain of delegation,1,826
chain_depth_sensitivity,1,63,True,0.70875,valid chain of delegation,1,826
chain_depth_sensitivity,1,64,True,0.713125,valid chain of delegation,1,826
chain_depth_sensitivity,1,65,True,0.70225,valid chain of delegation,1,826
chain_depth_sensitivity,1,66,True,0.791792,valid chain of delegation,1,826
chain_depth_sensitivity,1,67,True,0.731667,valid chain of delegation,1,826
chain_depth_sensitivity,1,68,True,0.71925,valid chain of delegation,1,826
chain_depth_sensitivity,1,69,True,0.711541,valid chain of delegation,1,826
chain_depth_sensitivity,1,70,True,0.7355,valid chain of delegation,1,826
chain_depth_sensitivity,1,71,True,0.715541,valid chain of delegation,1,826
chain_depth_sensitivity,1,72,True,0.700125,valid chain of delegation,1,826
chain_depth_sensitivity,1,73,True,0.816125,valid chain of delegation,1,826
chain_depth_sensitivity,1,74,True,0.72225,valid chain of delegation,1,826
chain_depth_sensitivity,1,75,True,0.743959,valid chain of delegation,1,826
chain_depth_sensitivity,1,76,True,0.743541,valid chain of delegation,1,826
chain_depth_sensitivity,1,77,True,0.702583,valid chain of delegation,1,826
chain_depth_sensitivity,1,78,True,0.760708,valid chain of delegation,1,826
chain_depth_sensitivity,1,79,True,0.742042,valid chain of delegation,1,826
chain_depth_sensitivity,1,80,True,0.689667,valid chain of delegation,1,826
chain_depth_sensitivity,1,81,True,0.707708,valid chain of delegation,1,826
chain_depth_sensitivity,1,82,True,0.7,valid chain of delegation,1,826
chain_depth_sensitivity,1,83,True,0.708334,valid chain of delegation,1,826
chain_depth_sensitivity,1,84,True,0.709708,valid chain of delegation,1,826
chain_depth_sensitivity,1,85,True,0.743333,valid chain of delegation,1,826
chain_depth_sensitivity,1,86,True,0.690958,valid chain of delegation,1,826
chain_depth_sensitivity,1,87,True,0.72175,valid chain of delegation,1,826
chain_depth_sensitivity,1,88,True,0.691542,valid chain of delegation,1,826
chain_depth_sensitivity,1,89,True,0.687958,valid chain of delegation,1,826
chain_depth_sensitivity,1,90,True,0.70125,valid chain of delegation,1,826
chain_depth_sensitivity,1,91,True,0.675834,valid chain of delegation,1,826
chain_depth_sensitivity,1,92,True,0.708167,valid chain of delegation,1,826
chain_depth_sensitivity,1,93,True,0.71375,valid chain of delegation,1,826
chain_depth_sensitivity,1,94,True,0.731083,valid chain of delegation,1,826
chain_depth_sensitivity,1,95,True,0.73125,valid chain of delegation,1,826
chain_depth_sensitivity,1,96,True,0.916042,valid chain of delegation,1,826
chain_depth_sensitivity,1,97,True,0.743167,valid chain of delegation,1,826
chain_depth_sensitivity,1,98,True,0.754,valid chain of delegation,1,826
chain_depth_sensitivity,1,99,True,0.746083,valid chain of delegation,1,826
chain_depth_sensitivity,1,100,True,0.707958,valid chain of delegation,1,826
chain_depth_sensitivity,2,1,True,0.780167,valid chain of delegation,2,1678
chain_depth_sensitivity,2,2,True,0.768458,valid chain of delegation,2,1678
chain_depth_sensitivity,2,3,True,0.82325,valid chain of delegation,2,1678
chain_depth_sensitivity,2,4,True,0.801333,valid chain of delegation,2,1678
chain_depth_sensitivity,2,5,True,0.821917,valid chain of delegation,2,1678
chain_depth_sensitivity,2,6,True,0.784958,valid chain of delegation,2,1678
chain_depth_sensitivity,2,7,True,0.806541,valid chain of delegation,2,1678
chain_depth_sensitivity,2,8,True,0.794125,valid chain of delegation,2,1678
chain_depth_sensitivity,2,9,True,0.808084,valid chain of delegation,2,1678
chain_depth_sensitivity,2,10,True,0.781375,valid chain of delegation,2,1678
chain_depth_sensitivity,2,11,True,0.802042,valid chain of delegation,2,1678
chain_depth_sensitivity,2,12,True,0.771708,valid chain of delegation,2,1678
chain_depth_sensitivity,2,13,True,0.763084,valid chain of delegation,2,1678
chain_depth_sensitivity,2,14,True,0.766583,valid chain of delegation,2,1678
chain_depth_sensitivity,2,15,True,0.811625,valid chain of delegation,2,1678
chain_depth_sensitivity,2,16,True,0.861375,valid chain of delegation,2,1678
