test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
chain_depth_sensitivity,1,1,True,1.054917,valid chain of delegation,1,826
chain_depth_sensitivity,1,2,True,1.029917,valid chain of delegation,1,826
chain_depth_sensitivity,1,3,True,1.040875,valid chain of delegation,1,826
chain_depth_sensitivity,1,4,True,0.99275,valid chain of delegation,1,826
chain_depth_sensitivity,1,5,True,0.938333,valid chain of delegation,1,826
chain_depth_sensitivity,1,6,True,0.932834,valid chain of delegation,1,826
chain_depth_sensitivity,1,7,True,1.034917,valid chain of delegation,1,826
chain_depth_sensitivity,1,8,True,0.988375,valid chain of delegation,1,826
chain_depth_sensitivity,1,9,True,0.85725,valid chain of delegation,1,826
chain_depth_sensitivity,1,10,True,0.859125,valid chain of delegation,1,826
chain_depth_sensitivity,1,11,True,0.840791,valid chain of delegation,1,826
chain_depth_sensitivity,1,12,True,0.813417,valid chain of delegation,1,826
chain_depth_sensitivity,1,13,True,0.801541,valid chain of delegation,1,826
chain_depth_sensitivity,1,14,True,0.797333,valid chain of delegation,1,826
chain_depth_sensitivity,1,15,True,0.847,valid chain of delegation,1,826
chain_depth_sensitivity,1,16,True,0.897083,valid chain of delegation,1,826
chain_depth_sensitivity,1,17,True,0.90475,valid chain of delegation,1,826
chain_depth_sensitivity,1,18,True,0.783833,valid chain of delegation,1,826
chain_depth_sensitivity,1,19,True,0.729166,valid chain of delegation,1,826
chain_depth_sensitivity,1,20,True,0.732333,valid chain of delegation,1,826
chain_depth_sensitivity,1,21,True,0.835042,valid chain of delegation,1,826
chain_depth_sensitivity,1,22,True,0.843167,valid chain of delegation,1,826
chain_depth_sensitivity,1,23,True,0.808166,valid chain of delegation,1,826
chain_depth_sensitivity,1,24,True,0.794417,valid chain of delegation,1,826
chain_depth_sensitivity,1,25,True,0.808083,valid chain of delegation,1,826
chain_depth_sensitivity,1,26,True,0.797542,valid chain of delegation,1,826
chain_depth_sensitivity,1,27,True,0.767083,valid chain of delegation,1,826
chain_depth_sensitivity,1,28,True,0.793792,valid chain of delegation,1,826
chain_depth_sensitivity,1,29,True,0.80375,valid chain of delegation,1,826
chain_depth_sensitivity,1,30,True,0.851541,valid chain of delegation,1,826
chain_depth_sensitivity,1,31,True,0.755792,valid chain of delegation,1,826
chain_depth_sensitivity,1,32,True,0.760959,valid chain of delegation,1,826
chain_depth_sensitivity,1,33,True,0.729458,valid chain of delegation,1,826
chain_depth_sensitivity,1,34,True,0.731041,valid chain of delegation,1,826
chain_depth_sensitivity,1,35,True,0.724166,valid chain of delegation,1,826
chain_depth_sensitivity,1,36,True,0.767833,valid chain of delegation,1,826
chain_depth_sensitivity,1,37,True,0.770041,valid chain of delegation,1,826
chain_depth_sensitivity,1,38,True,0.7485,valid chain of delegation,1,826
chain_depth_sensitivity,1,39,True,0.788166,valid chain of delegation,1,826
chain_depth_sensitivity,1,40,True,0.753916,valid chain of delegation,1,826
chain_depth_sensitivity,1,41,True,0.755584,valid chain of delegation,1,826
chain_depth_sensitivity,1,42,True,0.721583,valid chain of delegation,1,826
chain_depth_sensitivity,1,43,True,0.755375,valid chain of delegation,1,826
chain_depth_sensitivity,1,44,True,0.752459,valid chain of delegation,1,826
chain_depth_sensitivity,1,45,True,0.74125,valid chain of delegation,1,826
chain_depth_sensitivity,1,46,True,0.736125,valid chain of delegation,1,826
chain_depth_sensitivity,1,47,True,0.722166,valid chain of delegation,1,826
chain_depth_sensitivity,1,48,True,0.709625,valid chain of delegation,1,826
chain_depth_sensitivity,1,49,True,0.722209,valid chain of delegation,1,826
chain_depth_sensitivity,1,50,True,0.730833,valid chain of delegation,1,826
chain_depth_sensitivity,1,51,True,0.758625,valid chain of delegation,1,826
chain_depth_sensitivity,1,52,True,0.710042,valid chain of delegation,1,826
chain_depth_sensitivity,1,53,True,0.737208,valid chain of delegation,1,826
chain_depth_sensitivity,1,54,True,0.922,valid chain of delegation,1,826
chain_depth_sensitivity,1,55,True,0.734916,valid chain of delegation,1,826
chain_depth_sensitivity,1,56,True,0.72075,valid chain of delegation,1,826
chain_depth_sensitivity,1,57,True,0.672083,valid chain of delegation,1,826
chain_depth_sensitivity,1,58,True,0.730334,valid chain of delegation,1,826
chain_depth_sensitivity,1,59,True,0.720209,valid chain of delegation,1,826
chain_depth_sensitivity,1,60,True,0.6845,valid chain of delegation,1,826
chain_depth_sensitivity,1,61,True,0.695792,valid chain of delegation,1,826
chain_depth_sensitivity,1,62,True,0.807541,valid chain of delegation,1,826
chain_depth_sensitivity,1,63,True,0.861375,valid chain of delegation,1,826
chain_depth_sensitivity,1,64,True,1.206125,valid chain of delegation,1,826
chain_depth_sensitivity,1,65,True,0.945333,valid chain of delegation,1,826
chain_depth_sensitivity,1,66,True,0.992167,valid chain of delegation,1,826
chain_depth_sensitivity,1,67,True,1.032834,valid chain of delegation,1,826
chain_depth_sensitivity,1,68,True,0.802833,valid chain of delegation,1,826
chain_depth_sensitivity,1,69,True,0.786208,valid chain of delegation,1,826
chain_depth_sensitivity,1,70,True,0.7465,valid chain of delegation,1,826
chain_depth_sensitivity,1,71,True,0.718875,valid chain of delegation,1,826
chain_depth_sensitivity,1,72,True,0.772291,valid chain of delegation,1,826
chain_depth_sensitivity,1,73,True,0.847041,valid chain of delegation,1,826
chain_depth_sensitivity,1,74,True,0.742208,valid chain of delegation,1,826
chain_depth_sensitivity,1,75,True,0.765125,valid chain of delegation,1,826
chain_depth_sensitivity,1,76,True,0.760625,valid chain of delegation,1,826
chain_depth_sensitivity,1,77,True,1.356875,valid chain of delegation,1,826
chain_depth_sensitivity,1,78,True,0.829083,valid chain of delegation,1,826
chain_depth_sensitivity,1,79,True,1.1055,valid chain of delegation,1,826
chain_depth_sensitivity,1,80,True,0.833208,valid chain of delegation,1,826
chain_depth_sensitivity,1,81,True,0.749625,valid chain of delegation,1,826
chain_depth_sensitivity,1,82,True,0.72925,valid chain of delegation,1,826
chain_depth_sensitivity,1,83,True,1.452208,valid chain of delegation,1,826
chain_depth_sensitivity,1,84,True,1.325167,valid chain of delegation,1,826
chain_depth_sensitivity,1,85,True,0.802042,valid chain of delegation,1,826
chain_depth_sensitivity,1,86,True,0.824875,valid chain of delegation,1,826
chain_depth_sensitivity,1,87,True,0.751333,valid chain of delegation,1,826
chain_depth_sensitivity,1,88,True,0.760375,valid chain of delegation,1,826
chain_depth_sensitivity,1,89,True,0.782375,valid chain of delegation,1,826
chain_depth_sensitivity,1,90,True,0.990083,valid chain of delegation,1,826
chain_depth_sensitivity,1,91,True,0.739167,valid chain of delegation,1,826
chain_depth_sensitivity,1,92,True,0.726541,valid chain of delegation,1,826
chain_depth_sensitivity,1,93,True,0.750875,valid chain of delegation,1,826
chain_depth_sensitivity,1,94,True,0.786375,valid chain of delegation,1,826
chain_depth_sensitivity,1,95,True,0.842916,valid chain of delegation,1,826
chain_depth_sensitivity,1,96,True,0.829625,valid chain of delegation,1,826
chain_depth_sensitivity,1,97,True,0.779542,valid chain of delegation,1,826
chain_depth_sensitivity,1,98,True,0.733125,valid chain of delegation,1,826
chain_depth_sensitivity,1,99,True,0.757416,valid chain of delegation,1,826
chain_depth_sensitivity,1,100,True,0.709958,valid chain of delegation,1,826
chain_depth_sensitivity,2,1,True,0.78525,valid chain of delegation,2,1678
chain_depth_sensitivity,2,2,True,1.081209,valid chain of delegation,2,1678
chain_depth_sensitivity,2,3,True,1.023417,valid chain of delegation,2,1678
chain_depth_sensitivity,2,4,True,0.920042,valid chain of delegation,2,1678
chain_depth_sensitivity,2,5,True,0.838375,valid chain of delegation,2,1678
chain_depth_sensitivity,2,6,True,0.808708,valid chain of delegation,2,1678
chain_depth_sensitivity,2,7,True,0.814292,valid chain of delegation,2,1678
chain_depth_sensitivity,2,8,True,0.819833,valid chain of delegation,2,1678
chain_depth_sensitivity,2,9,True,0.802875,valid chain of delegation,2,1678
chain_depth_sensitivity,2,10,True,0.822792,valid chain of delegation,2,1678
chain_depth_sensitivity,2,11,True,0.758708,valid chain of delegation,2,1678
chain_depth_sensitivity,2,12,True,0.775667,valid chain of delegation,2,1678
chain_depth_sensitivity,2,13,True,0.786791,valid chain of delegation,2,1678
chain_depth_sensitivity,2,14,True,0.799167,valid chain of delegation,2,1678
chain_depth_sensitivity,2,15,True,0.807916,valid chain of delegation,2,1678
chain_depth_sensitivity,2,16,True,0.783708,valid chain of delegation,2,1678
chain_depth_sensitivity,2,17,True,0.777833,valid chain of delegation,2,1678
chain_depth_sensitivity,2,18,True,0.779542,valid chain of delegation,2,1678
chain_depth_sensitivity,2,19,True,0.790917,valid chain of delegation,2,1678
chain_depth_sensitivity,2,20,True,0.806458,valid chain of delegation,2,1678
chain_depth_sensitivity,2,21,True,0.7915,valid chain of delegation,2,1678
chain_depth_sensitivity,2,22,True,0.785375,valid chain of delegation,2,1678
chain_depth_sensitivity,2,23,True,0.836917,valid chain of delegation,2,1678
chain_depth_sensitivity,2,24,True,0.822459,valid chain of delegation,2,1678
chain_depth_sensitivity,2,25,True,0.818084,valid chain of delegation,2,1678
