test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
chain_depth_sensitivity,1,1,True,1.292542,valid chain of delegation,1,826
chain_depth_sensitivity,1,2,True,1.094083,valid chain of delegation,1,826
chain_depth_sensitivity,1,3,True,1.122292,valid chain of delegation,1,826
chain_depth_sensitivity,1,4,True,0.997042,valid chain of delegation,1,826
chain_depth_sensitivity,1,5,True,0.979334,valid chain of delegation,1,826
chain_depth_sensitivity,1,6,True,0.94675,valid chain of delegation,1,826
chain_depth_sensitivity,1,7,True,0.949875,valid chain of delegation,1,826
chain_depth_sensitivity,1,8,True,0.923875,valid chain of delegation,1,826
chain_depth_sensitivity,1,9,True,0.878292,valid chain of delegation,1,826
chain_depth_sensitivity,1,10,True,1.279417,valid chain of delegation,1,826
chain_depth_sensitivity,1,11,True,0.9495,valid chain of delegation,1,826
chain_depth_sensitivity,1,12,True,0.984625,valid chain of delegation,1,826
chain_depth_sensitivity,1,13,True,0.9085,valid chain of delegation,1,826
chain_depth_sensitivity,1,14,True,0.901208,valid chain of delegation,1,826
chain_depth_sensitivity,1,15,True,0.884542,valid chain of delegation,1,826
chain_depth_sensitivity,1,16,True,0.881083,valid chain of delegation,1,826
chain_depth_sensitivity,1,17,True,0.904916,valid chain of delegation,1,826
chain_depth_sensitivity,1,18,True,0.86925,valid chain of delegation,1,826
chain_depth_sensitivity,1,19,True,0.854625,valid chain of delegation,1,826
chain_depth_sensitivity,1,20,True,0.873416,valid chain of delegation,1,826
chain_depth_sensitivity,1,21,True,0.875166,valid chain of delegation,1,826
chain_depth_sensitivity,1,22,True,0.81675,valid chain of delegation,1,826
chain_depth_sensitivity,1,23,True,0.843458,valid chain of delegation,1,826
chain_depth_sensitivity,1,24,True,0.837292,valid chain of delegation,1,826
chain_depth_sensitivity,1,25,True,0.794125,valid chain of delegation,1,826
chain_depth_sensitivity,1,26,True,0.804042,valid chain of delegation,1,826
chain_depth_sensitivity,1,27,True,0.807167,valid chain of delegation,1,826
chain_depth_sensitivity,1,28,True,0.778958,valid chain of delegation,1,826
chain_depth_sensitivity,1,29,True,0.811209,valid chain of delegation,1,826
chain_depth_sensitivity,1,30,True,0.8115,valid chain of delegation,1,826
chain_depth_sensitivity,1,31,True,0.839,valid chain of delegation,1,826
chain_depth_sensitivity,1,32,True,0.836458,valid chain of delegation,1,826
chain_depth_sensitivity,1,33,True,0.779625,valid chain of delegation,1,826
chain_depth_sensitivity,1,34,True,1.184583,valid chain of delegation,1,826
chain_depth_sensitivity,1,35,True,0.82275,valid chain of delegation,1,826
chain_depth_sensitivity,1,36,True,0.784042,valid chain of delegation,1,826
chain_depth_sensitivity,1,37,True,0.750042,valid chain of delegation,1,826
chain_depth_sensitivity,1,38,True,0.740167,valid chain of delegation,1,826
chain_depth_sensitivity,1,39,True,0.762042,valid chain of delegation,1,826
chain_depth_sensitivity,1,40,True,0.798166,valid chain of delegation,1,826
chain_depth_sensitivity,1,41,True,0.749,valid chain of delegation,1,826
chain_depth_sensitivity,1,42,True,0.774542,valid chain of delegation,1,826
chain_depth_sensitivity,1,43,True,0.729875,valid chain of delegation,1,826
chain_depth_sensitivity,1,44,True,0.762584,valid chain of delegation,1,826
chain_depth_sensitivity,1,45,True,0.773333,valid chain of delegation,1,826
chain_depth_sensitivity,1,46,True,0.753792,valid chain of delegation,1,826
chain_depth_sensitivity,1,47,True,0.773333,valid chain of delegation,1,826
chain_depth_sensitivity,1,48,True,0.752,valid chain of delegation,1,826
