scenario,trace_id,operation,decision,metric,value_ms
interactive_valid_flow,tr_418afe9461834679,verify_cod,accepted,ledger_anchor,2.8366
interactive_valid_flow,tr_c9000d76f4364317,issue_delegation,accepted,signature_generation,0.1477
interactive_valid_flow,tr_c9000d76f4364317,issue_delegation,accepted,ledger_anchor,2.323
interactive_valid_flow,tr_02437d269b854b35,issue_downstream_delegation,accepted,incoming_cod_validation,0.1741
interactive_valid_flow,tr_02437d269b854b35,issue_downstream_delegation,accepted,signature_generation,0.0516
interactive_valid_flow,tr_02437d269b854b35,issue_downstream_delegation,accepted,ledger_anchor,2.036
interactive_valid_flow,tr_2c17025b2fc1499b,delegate_to_domain,accepted,signature_generation,0.0811
interactive_valid_flow,tr_2c17025b2fc1499b,delegate_to_domain,accepted,ledger_anchor,2.5825
interactive_valid_flow,tr_98898d5bf5c749f3,issue_delegation,accepted,signature_generation,0.0653
interactive_valid_flow,tr_98898d5bf5c749f3,issue_delegation,accepted,ledger_anchor,2.453
interactive_valid_flow,tr_896a5cea3d884874,delegate_to_domain,accepted,signature_generation,0.0751
interactive_valid_flow,tr_896a5cea3d884874,delegate_to_domain,accepted,ledger_anchor,4.4058
interactive_valid_flow,tr_19ce94611dd64c4c,issue_downstream_delegation,accepted,incoming_cod_validation,0.1343
interactive_valid_flow,tr_19ce94611dd64c4c,issue_downstream_delegation,accepted,signature_generation,0.044
interactive_valid_flow,tr_19ce94611dd64c4c,issue_downstream_delegation,accepted,ledger_anchor,3.9866
interactive_valid_flow,tr_8c745088a07c431e,delegate_to_domain,accepted,signature_generation,0.0839
interactive_valid_flow,tr_8c745088a07c431e,delegate_to_domain,accepted,ledger_anchor,3.0158
interactive_valid_flow,tr_00c1dcd5755b46d8,verify_cod,accepted,cod_validation,0.207
interactive_valid_flow,tr_00c1dcd5755b46d8,verify_cod,accepted,capability_realization,0.0722
interactive_valid_flow,tr_00c1dcd5755b46d8,verify_cod,accepted,ledger_anchor,5.8686
interactive_valid_flow,tr_2965cdf21f804773,issue_delegation,accepted,signature_generation,0.0651
interactive_valid_flow,tr_2965cdf21f804773,issue_delegation,accepted,ledger_anchor,3.1118
interactive_valid_flow,tr_7dcd9e4a624f4f52,issue_delegation,accepted,signature_generation,0.0886
interactive_valid_flow,tr_7dcd9e4a624f4f52,issue_delegation,accepted,ledger_anchor,3.109
interactive_valid_flow,tr_1c68120c5e4b4870,issue_downstream_delegation,accepted,incoming_cod_validation,0.1462
interactive_valid_flow,tr_1c68120c5e4b4870,issue_downstream_delegation,accepted,signature_generation,0.0872
interactive_valid_flow,tr_1c68120c5e4b4870,issue_downstream_delegation,accepted,ledger_anchor,1.6998
