session,test,depth,iteration,accepted,latency_ms,reason,chain_credentials,chain_size_bytes
01,chain_depth_sensitivity,1,73,True,0.728167,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,74,True,0.693083,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,75,True,0.719542,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,76,True,0.747042,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,77,True,0.727958,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,78,True,0.727334,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,79,True,0.704,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,80,True,0.71125,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,81,True,0.770125,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,82,True,0.698959,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,83,True,0.732625,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,84,True,0.72,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,85,True,0.687042,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,86,True,0.720125,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,87,True,0.73175,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,88,True,0.738292,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,89,True,0.764333,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,90,True,0.689583,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,91,True,0.748583,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,92,True,0.752875,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,93,True,0.712917,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,94,True,0.710042,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,95,True,0.704916,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,96,True,0.728084,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,97,True,0.710333,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,98,True,0.736042,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,99,True,0.734209,valid chain of delegation,1,826
01,chain_depth_sensitivity,1,100,True,0.676875,valid chain of delegation,1,826
01,chain_depth_sensitivity,2,1,True,0.775042,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,2,True,0.798834,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,3,True,0.830542,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,4,True,0.785,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,5,True,0.794584,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,6,True,0.794083,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,7,True,0.788417,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,8,True,0.786,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,9,True,0.799167,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,10,True,0.850041,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,11,True,0.8115,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,12,True,0.805417,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,13,True,0.803,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,14,True,0.786667,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,15,True,0.77725,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,16,True,0.798334,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,17,True,0.797292,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,18,True,0.751792,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,19,True,0.743542,valid chain of delegation,2,1678
01,chain_depth_sensitivity,2,20,True,0.79575,valid chain of delegation,2,1678
