test,metric,value,unit,note
crypto_cost,verifier_challenge_issuance_http_ci95_ms,0.012470321994403124,ms,
crypto_cost,nonce_challenge_consume_verify_capability_http_mean_ms,4.146252774,ms,
crypto_cost,nonce_challenge_consume_verify_capability_http_p95_ms,4.628833,ms,
crypto_cost,nonce_challenge_consume_verify_capability_http_ci95_ms,0.029699695927969467,ms,
load,iterations,100,count,
load,concurrency,10,workers,
load,success_count,100,count,
load,failure_count,0,count,
load,p95_latency_ms,129.317344,ms,
load,p99_latency_ms,141.460219,ms,
load,iterations,500,count,
load,concurrency,10,workers,
load,success_count,500,count,
load,failure_count,0,count,
load,p95_latency_ms,111.172881,ms,
load,p99_latency_ms,120.199793,ms,
load,iterations,1000,count,
load,concurrency,10,workers,
load,success_count,1000,count,
load,failure_count,0,count,
load,p95_latency_ms,116.522452,ms,
load,p99_latency_ms,130.677854,ms,
