session,system,source_commit,depth,iteration,accepted,latency_ms,proof_bytes
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,56,true,3.158667000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,57,true,3.173875000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,58,true,3.108209000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,59,true,3.169876000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,60,true,3.162292000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,61,true,3.140750000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,62,true,3.150625000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,63,true,3.201833000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,64,true,3.318334000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,65,true,3.285542000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,66,true,3.050375000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,67,true,3.090417000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,68,true,3.133250000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,69,true,3.137750000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,70,true,3.125125000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,71,true,3.124834000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,72,true,3.113625000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,73,true,3.198708000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,74,true,3.238417000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,75,true,3.198042000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,76,true,3.117042000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,77,true,3.113417000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,78,true,3.094959000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,79,true,3.078792000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,80,true,3.068291000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,81,true,3.107667000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,82,true,3.176459000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,83,true,3.167959000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,84,true,3.154375000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,85,true,3.143875000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,86,true,3.123167000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,87,true,3.032875000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,88,true,3.075542000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,89,true,3.166209000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,90,true,3.190167000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,91,true,3.119625000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,92,true,3.122458000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,93,true,3.077667000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,94,true,3.158667000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,95,true,3.328500000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,96,true,3.286250000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,97,true,3.172417000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,98,true,3.145291000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,99,true,3.169333000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,100,true,3.305333000,49026
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,1,true,5.102500000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,2,true,5.118500000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,3,true,5.128042000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,4,true,5.093500000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,5,true,4.969125000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,6,true,4.747125000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,7,true,4.790583000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,8,true,4.903458000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,9,true,4.867959000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,10,true,5.239667000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,11,true,4.999291000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,12,true,4.938792000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,13,true,5.035000000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,14,true,4.921500000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,15,true,5.172958000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,16,true,5.112292000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,17,true,4.903500000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,18,true,4.787792000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,19,true,4.849542000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,20,true,4.883166000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,21,true,5.123291000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,22,true,5.139583000,96035
04,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,2,23,true,4.808792000,96035
