session,system,source_commit,depth,iteration,accepted,latency_ms,proof_bytes
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,1,true,3.859500000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,2,true,3.706000000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,3,true,3.611041000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,4,true,3.540083000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,5,true,3.413334000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,6,true,3.374000000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,7,true,3.340875000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,8,true,3.551709000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,9,true,3.604792000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,10,true,3.290125000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,11,true,3.241250000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,12,true,3.234875000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,13,true,3.161750000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,14,true,3.139000000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,15,true,3.135917000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,16,true,3.180917000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,17,true,3.182750000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,18,true,3.213584000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,19,true,3.211125000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,20,true,3.260042000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,21,true,3.336208000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,22,true,3.093125000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,23,true,3.162792000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,24,true,3.196916000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,25,true,3.124416000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,26,true,3.048417000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,27,true,3.125667000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,28,true,3.179583000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,29,true,3.296750000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,30,true,3.315625000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,31,true,3.157667000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,32,true,3.203500000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,33,true,3.163625000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,34,true,3.196459000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,35,true,3.187375000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,36,true,3.126750000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,37,true,3.038666000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,38,true,3.257542000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,39,true,3.250083000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,40,true,3.199125000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,41,true,3.215958000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,42,true,3.121958000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,43,true,3.201875000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,44,true,3.191125000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,45,true,3.144458000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,46,true,3.190917000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,47,true,3.159084000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,48,true,3.161792000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,49,true,3.183000000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,50,true,3.188459000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,51,true,3.374167000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,52,true,3.369375000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,53,true,3.261041000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,54,true,3.209667000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,55,true,3.160084000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,56,true,3.125875000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,57,true,3.166541000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,58,true,3.182625000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,59,true,3.139666000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,60,true,3.145958000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,61,true,3.168083000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,62,true,3.237500000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,63,true,3.393083000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,64,true,3.055542000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,65,true,3.180709000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,66,true,3.052458000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,67,true,2.979875000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,68,true,3.105459000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,69,true,3.134167000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,70,true,3.088167000,49026
10,WAVE,3b90ec17ea9dde89e995a9a46222a93df0f992d4,1,71,true,3.289916000,49026
